Certificate,Ukrainian,Math,History,Geography,English,OtherForeignLang,Physics,Biology,Chemistry,UniverSpec
11.19,186,190,0,190,169,0,0,200,194,Київський національний університет імені Тараса Шевченка  091 Біологія 
11.44,200,189,0,195,180,0,0,200,189,Київський національний університет імені Тараса Шевченка  091 Біологія 
10.23,169,176,0,196,185,0,0,200,171,Київський національний університет імені Тараса Шевченка  091 Біологія 
11.73,191,159,0,171,159,0,0,199,179,Київський національний університет імені Тараса Шевченка  091 Біологія 
10.98,183,161,0,187,200,0,0,198,170,Київський національний університет імені Тараса Шевченка  091 Біологія 
10.48,173,159,0,159,188,0,0,200,179,Київський національний університет імені Тараса Шевченка  091 Біологія 
10.36,177,193,0,170,172,0,0,198,188,Київський національний університет імені Тараса Шевченка  091 Біологія 
11.66,195,198,0,178,162,0,0,200,170,Київський національний університет імені Тараса Шевченка  091 Біологія 
10.35,185,197,0,199,192,0,0,200,180,Київський національний університет імені Тараса Шевченка  091 Біологія 
10.2,169,158,0,159,174,0,0,199,168,Київський національний університет імені Тараса Шевченка  091 Біологія 
10.55,168,162,0,179,200,0,0,198,192,Київський національний університет імені Тараса Шевченка  091 Біологія 
11.65,167,177,0,160,185,0,0,200,200,Київський національний університет імені Тараса Шевченка  091 Біологія 
11.16,169,179,0,167,187,0,0,199,184,Київський національний університет імені Тараса Шевченка  091 Біологія 
11.64,195,195,0,191,167,0,0,198,174,Київський національний університет імені Тараса Шевченка  091 Біологія 
10.52,163,174,0,158,184,0,0,199,164,Київський національний університет імені Тараса Шевченка  091 Біологія 
11.92,195,198,0,187,180,0,0,198,190,Київський національний університет імені Тараса Шевченка  091 Біологія 
11.14,193,184,0,194,168,0,0,198,193,Київський національний університет імені Тараса Шевченка  091 Біологія 
10.83,160,200,0,158,199,0,0,199,178,Київський національний університет імені Тараса Шевченка  091 Біологія 
11.96,174,160,0,188,163,0,0,198,168,Київський національний університет імені Тараса Шевченка  091 Біологія 
11.44,169,173,0,191,183,0,0,199,163,Київський національний університет імені Тараса Шевченка  091 Біологія 
10.42,194,195,0,178,165,0,0,198,197,Київський національний університет імені Тараса Шевченка  091 Біологія 
11.42,182,164,0,196,161,0,0,198,165,Київський національний університет імені Тараса Шевченка  091 Біологія 
10.42,198,190,0,177,167,0,0,198,171,Київський національний університет імені Тараса Шевченка  091 Біологія 
10.27,176,195,0,200,174,0,0,199,190,Київський національний університет імені Тараса Шевченка  091 Біологія 
10.91,190,182,160,199,200,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
11.99,175,175,178,200,162,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
10.65,181,160,166,198,188,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
11.42,199,184,187,199,189,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
10.8,183,194,190,199,168,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
10.61,160,196,197,199,171,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
10.9,178,186,191,199,191,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
10.86,200,164,187,198,160,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
10.55,175,195,192,198,196,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
11.1,174,175,198,198,187,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
11.34,196,171,168,199,191,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
10.11,160,162,165,198,188,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
11.17,170,175,200,199,193,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
10.1,190,185,199,200,200,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
11.02,158,185,198,199,160,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
10.01,184,186,168,198,171,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
10.52,194,182,164,200,181,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
11.63,179,194,180,200,177,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
10.43,183,161,168,200,165,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
10.29,188,180,164,200,183,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
11.01,182,183,179,200,189,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
10.59,182,187,160,200,200,0,0,0,0,Київський національний університет імені Тараса Шевченка 106 Географія
10.81,189,0,0,176,160,0,0,199,0,Київський національний університет імені Тараса Шевченка 101 Екологія
10.96,197,0,0,188,174,0,0,199,0,Київський національний університет імені Тараса Шевченка 101 Екологія
10.38,185,0,0,199,161,0,0,198,0,Київський національний університет імені Тараса Шевченка 101 Екологія
10.16,186,0,0,159,162,0,0,199,0,Київський національний університет імені Тараса Шевченка 101 Екологія
11.96,167,0,0,189,188,0,0,200,0,Київський національний університет імені Тараса Шевченка 101 Екологія
11.69,175,0,0,181,191,0,0,198,0,Київський національний університет імені Тараса Шевченка 101 Екологія
11.72,184,0,0,191,178,0,0,198,0,Київський національний університет імені Тараса Шевченка 101 Екологія
10.13,188,0,0,160,198,0,0,199,0,Київський національний університет імені Тараса Шевченка 101 Екологія
10.22,175,0,0,183,188,0,0,199,0,Київський національний університет імені Тараса Шевченка 101 Екологія
11.14,200,0,0,194,194,0,0,200,0,Київський національний університет імені Тараса Шевченка 101 Екологія
11.46,184,0,0,176,193,0,0,200,0,Київський національний університет імені Тараса Шевченка 101 Екологія
10.48,161,0,0,194,168,0,0,199,0,Київський національний університет імені Тараса Шевченка 101 Екологія
11.22,174,0,0,189,188,0,0,199,0,Київський національний університет імені Тараса Шевченка 101 Екологія
10.6,193,0,0,190,191,0,0,199,0,Київський національний університет імені Тараса Шевченка 101 Екологія
10.47,192,0,0,199,195,0,0,198,0,Київський національний університет імені Тараса Шевченка 101 Екологія
10.29,197,0,0,174,199,0,0,199,0,Київський національний університет імені Тараса Шевченка 101 Екологія
11.09,195,0,0,172,158,0,0,198,0,Київський національний університет імені Тараса Шевченка 101 Екологія
10.22,200,0,0,167,173,0,0,200,0,Київський національний університет імені Тараса Шевченка 101 Екологія
11,193,0,0,185,190,0,0,200,0,Київський національний університет імені Тараса Шевченка 101 Екологія
11.4,194,0,0,184,161,0,0,200,0,Київський національний університет імені Тараса Шевченка 101 Екологія
11.17,196,0,0,195,191,0,0,199,0,Київський національний університет імені Тараса Шевченка 101 Екологія
11.75,171,0,0,165,190,0,0,198,0,Київський національний університет імені Тараса Шевченка 101 Екологія
10.28,173,0,0,182,172,0,0,198,0,Київський національний університет імені Тараса Шевченка 101 Екологія
11.47,192,0,0,164,166,0,0,198,0,Київський національний університет імені Тараса Шевченка 101 Екологія
10.63,178,0,0,158,173,0,0,200,0,Київський національний університет імені Тараса Шевченка 101 Екологія
11.96,177,0,0,194,182,0,0,198,0,Київський національний університет імені Тараса Шевченка 101 Екологія
11.71,177,0,0,180,163,0,0,199,0,Київський національний університет імені Тараса Шевченка 101 Екологія
10.82,175,200,0,189,167,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
10.15,184,200,0,170,160,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
10.06,162,199,0,161,178,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
10.85,195,198,0,200,167,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
11.41,186,198,0,173,200,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
11.18,168,200,0,194,200,0,0,0,0,Київський національний університет імені Тараса Шевченка  051 Економіка
